Section,Metric,Year 1 (2026),Year 2 (2027),Year 3 (2028),Notes
,Engineering,3,6,9,
,Product,1,2,3,
,Design,1,2,3,
,Marketing,3,6,9,
,Sales & Partnerships,2,5,10,
,Customer Support,3,8,12,
,Operations & Admin,2,6,14,

EXIT SCENARIOS (Year 5 projections),,,,,
,Conservative Exit (3x Revenue),,,"$36,000,000",Year 5 revenue est. $12M
,Mid Exit (5x Revenue),,,"$60,000,000",Year 5 revenue est. $12M
,Optimistic Exit (8x Revenue),,,"$96,000,000",Year 5 revenue est. $12M
,Strategic Buyer Premium,,,+30-50%,Booking.com / Expedia acquisition

INVESTMENT RETURNS,,,,,
,Seed Investment ($500K at $3M val),,,,"16.7% ownership",
,Series A Investment ($2.5M at $18M val),,,,"13.9% additional",
,Total Investor Ownership (post-A),,,,"30.6%",
,Conservative Exit Return (3 years),,,,"11.1x on invested $3M",
,Optimistic Exit Return (5 years),,,,"32x on invested $3M",Exceptional returns
